"emp_no","last_name","first_name","dept_no"
110022,"Markovitch","Margareta","d001"
110039,"Minakawa","Vishwani","d001"
110085,"Alpin","Ebru","d002"
110114,"Legleitner","Isamu","d002"
110183,"Ossenbruggen","Shirish","d003"
110228,"Sigstam","Karsten","d003"
110303,"Wegerle","Krassimir","d004"
110344,"Cools","Rosine","d004"
110386,"Kieras","Shem","d004"
110420,"Ghazalie","Oscar","d004"
110511,"Hagimont","DeForest","d005"
110567,"DasSarma","Leon","d005"
110725,"Onuegbe","Peternela","d006"
110765,"Hofmeyr","Rutger","d006"
110800,"Quadeer","Sanjoy","d006"
110854,"Pesch","Dung","d006"
111035,"Kaelbling","Przemyslawa","d007"
111133,"Zhang","Hauke","d007"
111400,"Staelin","Arie","d008"
111534,"Kambil","Hilary","d008"
111692,"Butterworth","Tonny","d009"
111784,"Giarratana","Marjo","d009"
111877,"Spinelli","Xiaobin","d009"
111939,"Weedman","Yuchang","d009"
